participant_id	original_id	gender	age	python_expertise	data_usability
sub-001	17105	Female	33	Novice	good
sub-002	17106	Female	22	Novice	good
sub-003	17107	Female	27	Novice	good
sub-004	17108	Female	18	Novice	good
sub-005	17109	Female	20	Novice	good
sub-006	17110	Female	22	Novice	good
sub-007	17111	Female	20	Novice	bad
sub-008	17112	Female	22	Expert	good
sub-009	17114	Female	22	Novice	bad
sub-010	17115	Male	22	Novice	good
sub-011	17116	Male	23	Expert	good
sub-012	17117	Female	21	Expert	good
sub-013	17118	Male	24	Expert	good
sub-014	17119	Female	23	Novice	good
sub-015	17120	Male	22	Expert	good
sub-016	17121	Female	25	Expert	good
sub-017	17122	Male	25	Expert	good
sub-018	17123	Female	28	Novice	bad
sub-019	17124	Female	19	Novice	bad
sub-020	17125	Female	28	Novice	good
sub-021	17126	Male	22	Expert	good
sub-022	17127	Female	19	Novice	good
sub-023	17128	Male	28	Expert	good
sub-024	17129	Male	24	Expert	good
sub-025	17130	Female	24	Expert	bad
sub-026	17131	Male	25	Expert	bad
sub-027	17132	Female	25	Expert	good
sub-028	17133	Male	32	Expert	bad
sub-029	17134	Male	26	Expert	good
sub-030	17135	Male	24	Expert	bad
sub-031	17136	Male	24	Expert	good
sub-032	17137	Female	28	Expert	good
sub-033	17138	Male	24	Expert	good
sub-034	17139	Female	23	Expert	good
sub-035	17140	Male	23	Expert	good
sub-036	17141	Male	20	Novice	good
sub-037	17142	Male	20	Novice	good
sub-038	17143	Female	23	Novice	good
sub-039	17144	Male	24	Expert	good
sub-040	17145	Male	23	Expert	good
sub-041	17147	Male	18	Expert	good
sub-042	17148	Male	23	Expert	good
sub-043	17149	Male	25	Novice	bad
sub-044	17150	Other	19	Novice	good
sub-045	17151	Male	19	Expert	bad
sub-046	17152	Female	22	Expert	bad
sub-047	17153	Male	18	Expert	good
sub-048	17154	Male	23	Expert	good
sub-049	17155	Female	21	Novice	good
sub-050	17156	Female	18	Expert	good
sub-051	17157	Female	21	Expert	good
sub-052	17158	Female	21	Novice	bad
sub-053	17159	Female	20	Expert	bad
sub-054	17160	Female	20	Novice	good
sub-055	17161	Female	21	Expert	good
sub-056	17162	Female	18	Novice	good
sub-057	17163	Female	20	Expert	bad
sub-058	17164	Female	20	Expert	good
sub-059	17165	Male	19	Novice	good
sub-060	17167	Male	20	Novice	bad
sub-061	17168	Female	21	Expert	bad
